time,ADX
2016-08-23,5.8200
2016-08-22,5.8386
2016-08-19,5.8818
2016-08-18,5.9263
2016-08-17,5.9548
2016-08-16,5.9952
2016-08-15,6.0063
2016-08-12,5.9926
2016-08-11,5.9996
2016-08-10,6.0067
2016-08-09,6.0278
2016-08-08,6.0292
2016-08-05,6.0366
2016-08-04,6.0509
2016-08-03,6.1049
2016-08-02,6.1718
2016-08-01,6.2399
2016-07-29,6.2559
2016-07-28,6.2752
2016-07-27,6.3059
2016-07-26,6.3371
2016-07-25,6.3725
2016-07-22,6.4037
2016-07-21,6.4319
2016-07-20,6.4619
2016-07-19,6.4790
2016-07-18,6.5223
2016-07-15,6.5649
2016-07-14,6.6081
2016-07-13,6.6469
2016-07-12,6.7151
2016-07-11,6.7868
2016-07-08,6.8878
2016-07-07,6.9918
2016-07-06,7.0432
2016-07-05,7.0748
2016-07-01,7.1222
2016-06-30,7.2092
2016-06-29,7.2741
2016-06-28,7.2757
2016-06-27,7.1780
2016-06-24,7.0657
2016-06-23,7.0427
2016-06-22,7.1506
2016-06-21,7.2453
2016-06-20,7.3243
2016-06-17,7.4047
2016-06-16,7.4220
2016-06-15,7.4396
2016-06-14,7.5082
2016-06-13,7.5656
2016-06-10,7.6624
2016-06-09,7.7922
2016-06-08,7.8741
2016-06-07,7.9430
2016-06-06,8.0166
2016-06-03,8.1069
2016-06-02,8.2235
2016-06-01,8.3332
2016-05-31,8.4560
2016-05-27,8.5714
2016-05-26,8.7002
2016-05-25,8.8434
2016-05-24,8.9890
2016-05-23,9.1071
2016-05-20,9.1628
2016-05-19,9.2195
2016-05-18,9.2385
2016-05-17,9.2781
2016-05-16,9.3334
2016-05-13,9.4033
2016-05-12,9.4609
2016-05-11,9.5431
2016-05-10,9.6537
2016-05-09,9.7662
2016-05-06,9.8273
2016-05-05,9.8725
2016-05-04,9.9330
2016-05-03,9.9944
2016-05-02,10.0780
2016-04-29,10.1886
2016-04-28,10.2774
2016-04-27,10.4122
2016-04-26,10.5746
2016-04-25,10.7480
2016-04-22,10.9065
2016-04-21,11.0762
2016-04-20,11.2622
2016-04-19,11.4332
2016-04-18,11.6230
2016-04-15,11.8025
2016-04-14,11.9585
2016-04-13,12.1212
2016-04-12,12.2760
2016-04-11,12.3914
2016-04-08,12.5133
2016-04-07,12.6320
2016-04-06,12.7526
2016-04-05,12.8941
2016-04-04,13.0273
2016-04-01,13.2033
2016-03-31,13.3823
2016-03-30,13.5919
2016-03-29,13.8067
2016-03-28,13.9910
2016-03-24,14.1503
2016-03-23,14.2980
2016-03-22,14.4722
2016-03-21,14.6605
2016-03-18,14.8464
2016-03-17,15.0323
2016-03-16,15.2089
2016-03-15,15.3595
2016-03-14,15.4793
2016-03-11,15.6132
2016-03-10,15.7449
2016-03-09,15.8432
2016-03-08,15.9172
2016-03-07,15.9924
2016-03-04,16.0887
2016-03-03,16.1866
2016-03-02,16.2549
2016-03-01,16.3097
2016-02-29,16.3487
2016-02-26,16.3470
2016-02-25,16.3663
2016-02-24,16.3629
2016-02-23,16.3178
2016-02-22,16.3142
2016-02-19,16.3180
2016-02-18,16.2625
2016-02-17,16.2250
2016-02-16,16.1869
2016-02-12,16.0722
2016-02-11,15.8845
2016-02-10,15.6513
2016-02-09,15.4686
2016-02-08,15.2504
2016-02-05,15.0285
2016-02-04,14.8647
2016-02-03,14.7396
2016-02-02,14.5899
2016-02-01,14.4759
2016-01-29,14.3964
2016-01-28,14.2990
2016-01-27,14.1080
2016-01-26,13.9138
2016-01-25,13.6904
2016-01-22,13.4622
2016-01-21,13.2320
2016-01-20,12.9508
2016-01-19,12.6302
2016-01-15,12.3768
2016-01-14,12.1192
2016-01-13,11.8882
2016-01-12,11.6643
2016-01-11,11.4794
2016-01-08,11.2621
2016-01-07,11.0680
2016-01-06,10.9030
2016-01-05,10.8029
2016-01-04,10.7462
2015-12-31,10.6886
2015-12-30,10.7335
2015-12-29,10.8172
2015-12-28,10.9022
2015-12-24,10.9322
2015-12-23,10.9925
2015-12-22,11.0474
2015-12-21,11.0501
2015-12-18,11.0028
2015-12-17,10.9548
2015-12-16,10.9780
2015-12-15,11.0032
2015-12-14,10.9714
2015-12-11,10.8566
2015-12-10,10.7703
2015-12-09,10.7584
2015-12-08,10.7463
2015-12-07,10.7679
2015-12-04,10.8217
2015-12-03,10.8764
2015-12-02,10.9094
2015-12-01,11.0209
2015-11-30,11.1478
2015-11-27,11.2529
2015-11-25,11.3681
2015-11-24,11.4903
2015-11-23,11.6146
2015-11-20,11.7657
2015-11-19,11.9225
2015-11-18,12.0579
2015-11-17,12.1921
2015-11-16,12.2846
2015-11-13,12.3461
2015-11-12,12.3874
2015-11-11,12.4784
2015-11-10,12.6345
2015-11-09,12.7855
2015-11-06,12.9391
2015-11-05,13.1294
2015-11-04,13.3379
2015-11-03,13.5633
2015-11-02,13.7915
2015-10-30,14.0043
2015-10-29,14.1942
2015-10-28,14.3943
2015-10-27,14.5930
2015-10-26,14.7507
2015-10-23,14.9266
2015-10-22,15.1056
2015-10-21,15.2327
2015-10-20,15.3220
2015-10-19,15.4310
2015-10-16,15.5310
2015-10-15,15.6306
2015-10-14,15.7105
2015-10-13,15.7582
2015-10-12,15.8266
2015-10-09,15.9121
2015-10-08,15.9991
2015-10-07,16.0794
2015-10-06,16.1229
2015-10-05,16.1496
2015-10-02,16.1713
2015-10-01,16.1059
2015-09-30,15.9802
2015-09-29,15.8356
2015-09-28,15.6353
2015-09-25,15.4421
2015-09-24,15.3103
2015-09-23,15.1356
2015-09-22,14.9953
2015-09-21,14.8527
2015-09-18,14.7507
2015-09-17,14.6471
2015-09-16,14.5980
2015-09-15,14.4880
2015-09-14,14.3393
2015-09-11,14.1337
2015-09-10,13.9192
2015-09-09,13.7010
2015-09-08,13.4802
2015-09-04,13.2072
2015-09-03,12.8674
2015-09-02,12.5704
2015-09-01,12.1931
2015-08-31,11.8094
2015-08-28,11.5145
2015-08-27,11.2297
2015-08-26,10.9286
2015-08-25,10.4786
2015-08-24,10.0211
2015-08-21,9.5557
2015-08-20,9.2546
2015-08-19,9.0846
2015-08-18,8.9966
2015-08-17,8.9699
2015-08-14,8.9407
2015-08-13,8.8757
2015-08-12,8.8096
2015-08-11,8.7295
2015-08-10,8.7124
2015-08-07,8.7073
